[2026-05-10 16:35:29.071] PID: 32888 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 2793a9a5021c7ece shell cmd display power-on 0
[2026-05-10 16:35:29.072] PID: 33860 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 25f5db2d04057ece shell cmd display power-on 0
[2026-05-10 16:35:29.072] PID: 34220 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28083aacbd217ece shell cmd display power-on 0
[2026-05-10 16:35:29.073] PID: 35492 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 2a7daa5dee3f7ece shell cmd display power-on 0
[2026-05-10 16:35:29.176] PID: 528 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s R58N30MBK4F shell cmd display power-on 0
[2026-05-10 16:35:29.182] PID: 4452 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28d96cc4ce0c7ece shell cmd display power-on 0
[2026-05-10 16:35:29.192] PID: 16560 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 24c24e6c370c7ece shell cmd display power-on 0
[2026-05-10 16:35:29.197] PID: 26908 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 2760466d28217ece shell cmd display power-on 0
[2026-05-10 16:35:29.199] PID: 34108 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28c42e85853f7ece shell cmd display power-on 0
[2026-05-10 16:35:29.200] PID: 36268 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28b85ba51b1c7ece shell cmd display power-on 0
[2026-05-10 16:35:29.201] PID: 36292 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28548fcc38017ece shell cmd display power-on 0
